feature,importance
total_spent,0.38681671364249215
satisfaction_score,0.3365460448861234
support_tickets,0.1702102029541262
avg_session_time,0.009835082250888737
marketing_spend_per_user,0.009278919056728794
lifetime_value,0.007841606122987106
avg_order_value,0.007328189679260027
customer_tenure_days,0.007280789343295012
pages_per_session,0.007253255767337973
days_since_last_purchase,0.006905064040751265
email_click_rate,0.005694045336305367
age,0.005223268128242194
email_open_rate,0.005143458439751801
total_visits,0.004448576126377355
last_3_month_purchase_freq,0.0032303845607717777
last_purchase_month,0.003189896016939826
nps_score,0.002650531903542063
delivery_delay_days,0.0024200726086688264
signup_month,0.002274550348660259
country_Germany,0.000849765609543855
city_New York,0.0007339802431922338
gender_Male,0.0006843207547399265
acquisition_channel_Google Ads,0.0006768935806671213
city_Dhaka,0.0005667673957306178
discount_used,0.0005478288953594798
city_Hamburg,0.0005319551544006477
city_Delhi,0.0005036014988188067
payment_method_Card,0.0004992666822560965
is_premium_user,0.0004896194657445139
device_type_Desktop,0.0004894379168930573
payment_method_PayPal,0.0004786144675396111
signup_year,0.00047003639537139373
payment_method_BKash,0.0004648118558390332
payment_method_UPI,0.0004416969136472216
refund_requested,0.00042738259614059167
device_type_Mobile,0.00042005509844778916
is_coupon_used,0.0004164266885418808
acquisition_channel_Referral,0.0004157616480705642
city_Berlin,0.0004154191295386423
gender_Female,0.00040990369203750313
city_London,0.0004046001837232315
city_Mumbai,0.00039989667655304444
subscription_type_Monthly,0.0003851910425657203
country_India,0.00038509400845576137
last_purchase_year,0.00038427426034156746
payment_method_SEPA,0.0003828862277756388
device_type_Tablet,0.0003726645808631077
acquisition_channel_Organic,0.000370510485689678
subscription_type_Annual,0.00036749651304443493
country_USA,0.00036739806960944327
country_UK,0.0003646252139413976
acquisition_channel_Email,0.00035282184943181375
country_Bangladesh,0.0003465218331114316
acquisition_channel_Facebook Ads,0.0003409819485191956
gender_Other,0.00027084021060397664
